# Measured scattering data of gold cubes
# q I err
5.890640000000002541e-01 8.287185461685835364e-01 1.250507050653005270e-01
5.905980199999999458e-01 8.150960400383135962e-01 1.244208204905676435e-01
5.921320300000000314e-01 1.016454026245210862e+00 1.242710784181431938e-01
5.936660499999997231e-01 8.433564662835246750e-01 1.243325725066160292e-01
5.952000599999999197e-01 5.910500965517231364e-01 1.227992817768390477e-01
5.967340799999997225e-01 6.705896519157086288e-01 1.238364670082269525e-01
5.982681000000000804e-01 6.974783128352468609e-01 1.231077952884455234e-01
5.998021100000001660e-01 5.766326593869726125e-01 1.217034798832459797e-01
6.013361299999999687e-01 7.631504178160932739e-01 1.228126874057774015e-01
6.028701400000001653e-01 9.484222547892712241e-01 1.233463872298550812e-01
6.044041599999998571e-01 9.662281626436808324e-01 1.233205433868620471e-01
6.059381800000002150e-01 6.698308331417628381e-01 1.229054219360287553e-01
6.074721899999998564e-01 6.407363754789265897e-01 1.234424974066602038e-01
6.090062100000002143e-01 7.690530812260538696e-01 1.220554339632033275e-01
6.105402899999998745e-01 6.738223204980844372e-01 1.213092869673716434e-01
6.120743000000000711e-01 6.508160055555558543e-01 1.213324663608230242e-01
6.136083200000000959e-01 6.891415783524923455e-01 1.222089112553173817e-01
6.151423400000001207e-01 9.066849517241379885e-01 1.219969015080891450e-01
6.166763500000000953e-01 9.405393026819943714e-01 1.215901314300546487e-01
6.182103700000000090e-01 8.127728107279699188e-01 1.209422623914424011e-01
6.197443800000000946e-01 6.240070132183914708e-01 1.205896818335451537e-01
